City,covid19,xdd,ydd
 г. Нур-Султан                 , 222 ,71.43696,51.143885
 г. Алматы                     , 119 ,76.942934,43.215482
 г. Шымкент                    , 20 ,69.531221,42.346375
 Акмолинская область           , 42 ,69.901514,51.787224
 Актюбинская область           , 11 ,58.596482,48.604025
 Алматинская область           , 10 ,77.928852,44.980398
 Атырауская область            , 32 ,52.083663,47.476414
 Восточно-Казахстанская область, 6 ,81.494236,48.798196
 Жамбылская область            , 45 ,72.139875,44.31766
 Западно-Казахстанская область , 2 ,50.673668,49.792786
 Карагандинская область        , 55 ,70.99457,48.223676
 Костанайская область        , 3 ,64.01718,51.601806
 Кызылординская область        , 54 ,63.641641,45.194056
 Мангистауская область         , 5 ,53.971744,44.112844
 Павлодарская область          , 1 ,76.242826,52.070653
 Северо-Казахстанская область  , 25 ,69.266071,53.856356
 Туркестанская область   , 33 ,68.449423,43.221283
